"date","geography","value_type","value"
2020-04-04,"South West","hospital_inc",98
2020-04-04,"East of England","hospital_prev",817
2020-04-04,"East of England","icu_prev",171
2020-04-04,"England","hospital_prev",13519
2020-04-04,"England","icu_prev",1950
2020-04-04,"London","hospital_prev",3867
2020-04-04,"London","icu_prev",824
2020-04-04,"Midlands","hospital_prev",2565
2020-04-04,"Midlands","icu_prev",360
2020-04-04,"North East and Yorkshire","hospital_prev",1947
2020-04-04,"North East and Yorkshire","icu_prev",148
2020-04-04,"North West","hospital_prev",1980
2020-04-04,"North West","icu_prev",154
2020-04-04,"South East","hospital_prev",1622
2020-04-04,"South East","icu_prev",226
2020-04-04,"South West","hospital_prev",721
2020-04-04,"South West","icu_prev",67
2020-04-05,"East of England","hospital_inc",220
2020-04-05,"England","hospital_inc",2592
2020-04-05,"London","hospital_inc",732
2020-04-05,"Midlands","hospital_inc",489
2020-04-05,"North East and Yorkshire","hospital_inc",365
2020-04-05,"North West","hospital_inc",379
2020-04-05,"South East","hospital_inc",277
2020-04-05,"South West","hospital_inc",130
2020-04-05,"East of England","hospital_prev",1011
2020-04-05,"East of England","icu_prev",219
2020-04-05,"England","hospital_prev",14560
2020-04-05,"England","icu_prev",2097
2020-04-05,"London","hospital_prev",4069
2020-04-05,"London","icu_prev",800
2020-04-05,"Midlands","hospital_prev",2685
2020-04-05,"Midlands","icu_prev",406
2020-04-05,"North East and Yorkshire","hospital_prev",2156
2020-04-05,"North East and Yorkshire","icu_prev",147
2020-04-05,"North West","hospital_prev",2109
2020-04-05,"North West","icu_prev",179
2020-04-05,"South East","hospital_prev",1781
2020-04-05,"South East","icu_prev",256
2020-04-05,"South West","hospital_prev",749
2020-04-05,"South West","icu_prev",90
2020-04-06,"East of England","hospital_inc",231
2020-04-06,"England","hospital_inc",2679
2020-04-06,"London","hospital_inc",743
2020-04-06,"Midlands","hospital_inc",439
2020-04-06,"North East and Yorkshire","hospital_inc",404
2020-04-06,"North West","hospital_inc",392
2020-04-06,"South East","hospital_inc",326
2020-04-06,"South West","hospital_inc",144
2020-04-06,"East of England","hospital_prev",1016
2020-04-06,"East of England","icu_prev",204
2020-04-06,"England","hospital_prev",14890
2020-04-06,"England","icu_prev",2264
2020-04-06,"London","hospital_prev",4144
2020-04-06,"London","icu_prev",914
2020-04-06,"Midlands","hospital_prev",2831
2020-04-06,"Midlands","icu_prev",419
2020-04-06,"North East and Yorkshire","hospital_prev",1924
2020-04-06,"North East and Yorkshire","icu_prev",205
2020-04-06,"North West","hospital_prev",2358
2020-04-06,"North West","icu_prev",171
2020-04-06,"South East","hospital_prev",1807
2020-04-06,"South East","icu_prev",248
2020-04-06,"South West","hospital_prev",810
2020-04-06,"South West","icu_prev",103
2020-04-07,"East of England","hospital_inc",164
2020-04-07,"England","hospital_inc",2744
