org_code,trustname,nat_group,geog_code,add_1,add_2,add_3,add_4,add_5,postcode,open_date,close_date,gor_code,ignore1,ingore2,nhs_region
rje,university_hospitals_of_north_midlands_nhs_trust,y55,q76,newcastle_road,,,stoke_on_trent,staffordshire,st46qg,19930401,NA,e,Q76,05W,midlands
,university_hospitals_plymouth_nhs_trust,,,,,,,,,,,,,,south_west
rqf,velindre_nhs_trust,w00,q99,unit_2,charnwood_court,heol_billingsley,cardiff,south_glamorgan,cf157qz,19940401,NA,w,NA,NA,NA
rbk,walsall_healthcare_nhs_trust,y55,q77,manor_hospital,moat_road,,walsall,west_midlands,ws29ps,19910401,NA,f,Q77,05Y,midlands
rww,warrington_and_halton_teaching_hospitals_nhs_foundation_trust,y54,q75,warrington_hospital,lovely_lane,,warrington,cheshire,wa51qg,20010401,NA,b,Q75,02E,north_west
rt4,welsh_ambulance_services_nhs_trust,w00,q99,po_box_1064,hm_stanley_hospital,,st_asaph,clwyd,ll170wa,19980401,NA,w,NA,NA,NA
rwg,west_hertfordshire_hospitals_nhs_trust,y55,q78,trust_offices,watford_general_hospital,vicarage_road,watford,hertfordshire,wd180hb,20000401,NA,e,Q79,06N,east_of_england
rkl,west_london_mental_health_nhs_trust,y56,q71,trust_headquarters,st_bernards_hospital,uxbridge_road,southall,middlesex,ub13eu,20010401,NA,h,Q71,07W,london
,west_london_nhs_trust,y56,q71,trust_headquarters,st_bernards_hospital,uxbridge_road,southall,middlesex,ub13eu,20010401,NA,h,Q71,07W,london
rfw,west_middlesex_university_hospital_nhs_trust,y56,q71,twickenham_road,,,isleworth,middlesex,tw76af,19930401,20150831,h,Q71,07Y,london
rya,west_midlands_ambulance_service_nhs_foundation_trust,y55,q77,waterfront_business_park,waterfront_way,,brierley_hill,west_midlands,dy51lx,20060701,NA,f,Q77,05C,midlands
rgr,west_suffolk_nhs_foundation_trust,y55,q79,hardwick_lane,,,bury_st_edmunds,suffolk,ip332qz,19930401,NA,g,Q79,07K,east_of_england
ryr,western_sussex_hospitals_nhs_foundation_trust,y57,q81,worthing_hospital,lyndhurst_road,,worthing,west_sussex,bn112dh,20090401,NA,j,Q88,09G,south_east
ra3,weston_area_health_nhs_trust,y57,q80,weston_general_hospital,grange_road,uphill,weston_super_mare,avon,bs234tq,19910401,NA,k,Q86,15C,south_west
,whittington_health_nhs_trust,,,,,,,,,,,,,,london
ry7,wirral_community_health_and_care_nhs_foundation_trust,y54,q75,old_market_house,hamilton_street,,birkenhead,merseyside,ch415al,20110401,NA,b,Q75,12F,north_west
rbl,wirral_university_teaching_hospital_nhs_foundation_trust,y54,q75,arrowe_park_hospital,arrowe_park_road,upton,wirral,merseyside,ch495pe,19910401,NA,b,Q75,12F,north_west
rwp,worcestershire_acute_hospitals_nhs_trust,y55,q77,worcestershire_royal_hospital,charles_hastings_way,,worcester,worcestershire,wr51dd,20000401,NA,f,Q77,05T,midlands
r1a,worcestershire_health_and_care_nhs_trust,y55,q77,isaac_maddox_house,shrub_hill_industrial_estate,,worcester,worcestershire,wr49rw,20110701,NA,f,Q77,05T,midlands
rrf,wrightington_wigan_and_leigh_nhs_foundation_trust,y54,q83,the_elms,royal_albert_edward_infirmary,wigan_lane,wigan,lancashire,wn12nn,20010401,NA,b,Q83,02H,north_west
rlq,wye_valley_nhs_trust,y55,q77,county_hospital,union_walk,,hereford,herefordshire,hr12er,19940401,NA,f,Q77,05F,midlands
ra4,yeovil_district_hospital_nhs_foundation_trust,y57,q80,yeovil_district_hospital,higher_kingston,,yeovil,somerset,ba214at,19910401,NA,k,Q85,11X,south_west
rcb,york_teaching_hospital_nhs_foundation_trust,y54,q72,york_hospital,wigginton_road,,york,north_yorkshire,yo318he,19920401,NA,d,Q72,03Q,north_east_and_yorkshire
rx8,yorkshire_ambulance_service_nhs_trust,y54,q72,springhill_2,wakefield_41_industrial_estate,brindley_way,wakefield,west_yorkshire,wf20xq,20060701,NA,d,Q72,03R,north_east_and_yorkshire
